Kod, Miasto
406883,Koniecki Małe
406890,Koniecki-Rostroszewo
406908,Kurki
406914,Lipnik
406920,Mazewo
406937,Milewo
406943,Niećkowo
406950,Niedźwiadna
406966,Niedźwiedzkie
406972,Obrytki
406989,Rakowo
406995,Przeszkoda
407003,Skaje
407010,Balcer
407026,Sokoły
407032,Guty
407055,Świdry-Awissa
407061,Miętusewo
407078,Tarachy
407084,Wólka
407090,Zacieczki
407109,Nowe Zacieczki
407115,Załuski
407121,Bryki
407138,Dąbrowa-Bybytki
407144,Dąbrowa-Dołęgi
407150,Dąbrowa-Gogole
407167,Dąbrowa-Kaski
407173,Dąbrowa-Łazy
407180,Dąbrowa-Moczydły
407196,Dąbrowa-Tworki
407204,Dąbrowa-Wilki
407210,Dąbrowa-Zabłotne
407227,Dąbrówka Kościelna
407233,Jabłoń-Kikolskie
407240,Jabłoń-Samsony
407256,Kamień-Rupie
407262,Moczydły-Jakubowięta
407279,Moczydły-Stanisławowięta
407285,Nowe Gierałty
407291,Nowe Szepietowo Podleśne
407300,Nowe Warele
407316,Nowe Zalesie
407322,Plewki
407339,Pułazie-Świerże
407345,Pułazie-Wojdyły
407351,Stary Kamień
407368,Stawiereje-Michałowięta
407374,Stawiereje Podleśne
407380,Szepietowo
407397,Szepietowo-Janówka
407405,Szepietowo Podleśne
407411,Szepietowo-Wawrzyńce
407428,Szepietowo-Żaki
407434,Szymbory-Andrzejowięta
407440,Szymbory-Jakubowięta
407457,Szymbory-Włodki
407463,Średnica-Jakubowięta
407470,Średnica-Maćkowięta
407486,Średnica-Pawłowięta
407492,Warele-Filipowicze
407500,Włosty-Olszanka
407517,Wojny-Izdebnik
407523,Wojny-Krupy
407530,Wojny-Piecki
407546,Wojny-Pietrasze
407552,Wojny-Pogorzel
407569,Wojny-Szuby Szlacheckie
407575,Wojny-Szuby Włościańskie
407581,Wojny-Wawrzyńce
407598,Wyliny-Ruś
407606,Wyszonki-Posele
407612,Brulino-Lipskie
407629,Godlewo-Gorzejewo
407635,Godlewo-Gudosze
407641,Gostkowo
407658,Grędzice
407670,Helenowo
407687,Gumowo-Dobki
407693,Janczewo-Sukmanki
407701,Janczewo Wielkie
407718,Leśniewo
407724,Mianowo
407753,Słup
407760,Słup-Kolonia
407776,Smolewo-Parcele
407782,Smolewo-Wieś
407799,Szulborze-Koty
407807,Szulborze Wielkie
407820,Świerże-Leśniewek
407836,Uścianek-Dębianka
407842,Zakrzewo-Zalesie
407859,Głębocz Wielki
407865,Kaczynek
407871,Kalinowo
407888,Krajewo-Budziły
407894,Łętownica
407902,Ostrożne
407919,Paproć Duża
407925,Paproć Mała
407931,Pęchratka Polska
407954,Radwany-Zaorze
407960,Mroczki-Stylongi
407977,Rynołty
407983,Srebrna
408014,Srebrny Borek
408020,Stryjki
408037,Szumowo
408043,Nowe Szumowo
408050,Wyszomierz Wielki
408072,Zaręby-Jartuzy
408089,Żabikowo Prywatne
408095,Żabikowo Rządowe
408103,Brulin
408110,Chomentowo
408149,Dębowo
408155,Duchny Młode
408161,Grabowo
408178,Jakać-Borki
408184,Jakać Borowa
408190,Jakać Dworna
408209,Jakać Młoda
408215,Bagno
408221,Jastrząbka Młoda
408238,Koryta
408244,Jemielite-Wypychy
408267,Kołaczki
408273,Konopki Młode
408280,Koziki
408296,Mężenin
408304,Młynik
408310,Młynik-Dwór
408327,Olszewo
408333,Osobne
408340,Ratowo-Piotrowo
408379,Sierzputy-Marki
408385,Sierzputy Zagajne
408400,Stara Jakać
408416,Stara Jastrząbka
408422,Stare Duchny
408445,Stare Jemielite
408468,Doły
408474,Stare Konopki
408480,Stare Ratowo
408511,Stare Szabły
408557,Strzeszewo
408563,Szabły Młode
408570,Szczepankowo
408586,Szczepankowo-Kolonia
408600,Śniadowo
408630,Śniadowo-Stara Stacja
408646,Truszki
408681,Uśnik
408712,Uśnik-Dwór
408729,Uśnik-Kolonia
408735,Wierzbowo
408741,Wszerzecz
408758,Wszerzecz-Kolonia
408764,Zagroby
408770,Zalesie-Poczynki
408787,Zalesie-Wypychy
408793,Żebry
408801,Żebry-Kolonia
408818,Boguszewo
408824,Boguszki
408830,Brzeziny
408847,Budy
408860,Dobarz
408876,Chojnowo
408882,Giełczyn
408907,Kołodzieje
408920,Gugny
408936,Krynica
408942,Laskowiec
408959,Kleszcze
408965,Milewo
408971,Mroczki
408988,Niewiarowo
409002,Nowa Wieś
409019,Stójka
409025,Pisanki
409031,Stare Bajki
409048,Szafranki
409054,Szorce
409060,Trzcianne
409077,Korczak
409083,Wilamówka
409090,Wyszowate
409108,Zajki
409114,Zubole
409120,Zucielec
409137,Adamusy
409150,Charubin
409172,Charubiny
409189,Cieciory
409226,Cieloszka
409255,Dudy Nadrzeczne
409261,Krusza
409278,Ksebki
409284,Leman
409309,Pudełko
409315,Łacha
409350,Nowa Ruda
409367,Popiołki
409380,Potasie
409396,Ptaki
409404,Pupki
409410,Samule
409427,Szablaki
409433,Trzcińskie
409440,Turośl
409462,Jesionki
409485,Turośl
409491,Wanacja
409500,Zimna
409516,Bagienice
409522,Bukowo Duże
409539,Jaki
409545,Kędziorowo
409551,Komosewo
409568,Kudłaczewo
409574,Ławsk
409580,Kolonie Ławsk
409597,Łempice
409605,Modzele
409611,Niebrzydy
409628,Nieciki
409634,Sulewo-Kownaty
409640,Sulewo-Prusy
409657,Szymany
409663,Wąsosz Pierwszy
409670,Kolonia Gródź
409686,Kolonia Łazy
409692,Wąsosz Drugi
409700,Zalesie
409717,Żebry
409723,Żebry
409730,Boguszki
409746,Bronowo
409752,Lisno
409769,Nart
409775,Podkosacze
409781,Janczewo
409812,Jarnuty
409829,Kokoszki
409835,Kramkowo
409864,Małachowo
409870,Męczki
409887,Mrówki
409893,Nieławice
409901,Niwkowo
409918,Nowe Bożejewo
409924,Ruś
409930,Rutki
409947,Rutkowskie
409953,Sambory
409960,Sieburczyn
409976,Srebrowo
410034,Stare Bożejewo
410063,Taraskowo
410070,Wierciszewo
410086,Wizna
410123,Rusiniec
410130,Witkowo
410146,Włochówka
410169,Zanklewo
410198,Brok
410206,Brzóski Brzezińskie
410212,Brzóski-Falki
410229,Brzóski-Gromki
410235,Brzóski-Markowizna
410241,Brzóski-Tatary
410258,Buczyno-Mikosy
410264,Bujny-Biszewo
410270,Dąbrowa-Dzięciel
410287,Faszcze
410293,Gołasze-Górki
410301,Gołasze-Puszcza
410318,Jabłonka Kościelna
410324,Jabłonka-Świerczewo
410330,Jabłoń-Rykacze
410347,Jabłoń-Uszyńskie
410353,Kalinowo-Czosnowo
410360,Mazury
410376,Michałki
410382,Miodusy-Litwa
410399,Miodusy-Stasiowięta
410407,Miodusy-Stok
410413,Miodusy Wielkie
410436,Mścichy
410442,Mystki-Rzym
410459,Nowa Ruś
410465,Nowe Osipy
410471,Osipy-Kolonia
410488,Osipy-Lepertowizna
410494,Osipy-Wydziory Drugie
410519,Osipy-Wydziory Pierwsze
410525,Osipy-Zakrzewizna
410531,Rębiszewo-Studzianki
410554,Sokoły-Jaźwiny
410560,Stara Ruś
410577,Brzóski Stare
410583,Stare Osipy
410590,Święck-Nowiny
410608,Święck Wielki
410614,Trzeciny
410620,Tybory-Jeziernia
410637,Tybory-Kamianka
410643,Tybory-Misztale
410650,Tybory-Olszewo
410666,Tybory-Trzcianka
410672,Tybory-Wólka
410689,Tybory-Żochy
410695,Wiśniówek
410703,Wiśniówek-Kolonia
410710,Wólka Duża
410726,Wólka Mała
410732,Wróble
410749,Zawrocie-Nowiny
410755,Bacze Mokre
410761,Boruty-Goski
410778,Brajczewo-Sierzputy
410784,Chmiele-Pogorzele
410790,Chorzele
410809,Cieciorki
410815,Czartosy
410821,Czerwony Bór
410838,Dąbki-Łętownica
410844,Długobórz Drugi
410850,Długobórz Pierwszy
410867,Gardlin
410873,Goski Duże
410880,Goski-Pełki
410896,Grabówka
410904,Grochy-Łętownica
410910,Grochy-Pogorzele
410927,Grzymały
410933,Klimasze
410940,Konopki-Jabłoń
410956,Konopki-Jałbrzyków Stok
410962,Koziki-Jałbrzyków Stok
410979,Krajewo Białe
410985,Krajewo Borowe
410991,Krajewo-Ćwikły
411000,Krajewo-Korytki
411016,Krajewo-Łętowo
411022,Łady-Borowe
411039,Łady Polne
411045,Łosie-Dołęgi
411051,Nagórki-Jabłoń
411068,Nowe Wierzbowo
411074,Grabówka
411080,Nowe Zakrzewo
411097,Nowy Borek
411105,Nowy Laskowiec
411111,Nowy Skarżyn
411128,Osowiec
411134,Pęsy-Lipno
411140,Polki-Teklin
411157,Poryte-Jabłoń
411163,Przeździecko-Drogoszewo
411170,Przeździecko-Mroczki
411186,Pstrągi-Gniewoty
411192,Rykacze
411200,Sasiny
411217,Sędziwuje
411223,Stare Krajewo
411230,Stare Wądołki
411246,Stare Zakrzewo
411252,Stary Laskowiec
411269,Stary Skarżyn
411275,Szeligi-Kolonia
411281,Szeligi-Leśnica
411298,Śledzie
411306,Tabędz
411312,Tarnowo-Goski
411329,Wądołki-Borowe
411335,Wądołki-Bućki
411341,Wdziękoń Drugi
411358,Wdziękoń Pierwszy
411364,Wierzbowo-Wieś
411370,Wiśniewo
411387,Wola Zambrowska
411393,Wola Zambrzycka
411401,Zagroby-Łętownica
411418,Zagroby-Zakrzewo
411424,Zaręby-Grzymały
411430,Zaręby-Kramki
411447,Zaręby-Kromki
411453,Zaręby-Krztęki
411460,Zaręby-Świeżki
411476,Zbrzeżnica
411507,Budziszewo
411513,Chmielewo
411565,Gaczkowo
411571,Gąsiorowo
411588,Grabowo
411594,Kańkowo-Piecki
411602,Kępiste-Borowe
411619,Kietlanka
411625,Kosuty
411631,Niemiry
411648,Nienałty-Brewki
411654,Nienałty-Szymany
411660,Nowa Złotoria
411683,Pętkowo Wielkie
411690,Pułazie
411708,Rawy-Gaczkowo
411714,Rostki-Daćbogi
411720,Skłody-Piotrowice
411737,Skłody-Stachy
411743,Skłody Średnie
411750,Stara Złotoria
411766,Świerże-Kiełcze
411772,Świerże-Kończany
411789,Świerże-Kolonia
411795,Świerże-Panki
411810,Świerże Zielone
411826,Uścianek Wielki
411832,Zakrzewo-Kopijki
411849,Zakrzewo Wielkie
411855,Zaręby Kościelne
411861,Zaręby Leśne
411878,Zgleczewo Panieńskie
411884,Zgleczewo Szlacheckie
411890,Cibory-Chrzczony
411909,Cibory Gałeckie
411915,Cibory-Kołaczki
411921,Cibory-Krupy
411938,Cibory-Marki
411944,Cibory-Witki
411950,Góra Strękowa
411967,Konopki-Klimki
411973,Konopki-Pokrzywnica
411980,Krzewo-Plebanki
411996,Kurpiki
412004,Łaś-Toczyłowo
412010,Maliszewo-Łynki
412027,Maliszewo-Perkusy
412033,Nowe Chlebiotki
412040,Nowe Grabowo
412056,Nowe Krzewo
412062,Rudniki
412079,Stare Chlebiotki
412085,Stare Grabowo
412091,Stare Krzewo
412100,Strękowa Góra
412116,Targonie-Krytuły
412122,Targonie Wielkie
412139,Targonie-Wity
412145,Wieczorki
412151,Zawady
412168,Marylki
412174,Zawady-Borysówka
412180,Zawady-Kolonia
412197,Bienduszka
412205,Dębniki
412211,Nowogród
412228,Dobry Las
412317,Dobry Las
412323,Gawrychy
412346,Gontarze
412352,Jurki
412375,Kuzie
412412,Laski
412435,Osowiec
412441,Osowiec
412458,Pianki
412464,Piasutno Żelazne
412487,Piasutno Żelazne
412493,Popiołki
412518,Poredy
412524,Poredy
412530,Ruda Osowiecka
412547,Siwiki
412576,Stanisławowo
412607,Tabory-Rzym
412613,Jagłowiec
412620,Sosnowy
412636,Wyk
412659,Zbójna
412665,Budniki
412688,Czarny Kąt
412694,Dłużewo
412731,Antoniew
412748,Bełdów
412754,Brużyczka Mała
412760,Budy Wolskie
412777,Izabelin
412783,Chrośno
412790,Ciężków
412808,Jastrzębie Górne
412814,Karolew
412820,Kolonia Brużyca
412837,Bełdów-Krzywa Wieś
412843,Krzywiec
412850,Księstwo
412866,Łobódź
412872,Nakielnica
412889,Nowe Krasnodęby
412895,Nowy Adamów
412903,Prawęcice
412910,Rąbień
412926,Rąbień AB
412932,Ruda-Bugaj
412949,Sanie
412961,Słowak
412978,Sobień
412990,Stare Krasnodęby
413009,Stary Adamów
413015,Wola Grzymkowa
413021,Grunwald
413038,Placydów
413044,Zgniłe Błoto
413050,Andrespol
413067,Bedoń Przykościelny
413073,Bedoń-Wieś
413080,Janówka
413096,Justynów
413104,Kraszew
413110,Nowy Bedoń
413127,Stróża
413133,Ludwików
413140,Wiśniowa Góra
413156,Brójce
413179,Bukowiec
413216,Giemzów
413222,Karpin
413239,Kotliny
413268,Kurowice
413305,Kurowice Kościelne
413311,Leśne Odpadki
413328,Pałczew
413334,Przypusta
413340,Giemzówek
413357,Stefanów
413363,Budy Wandalińskie
413370,Posada
413386,Wandalin
413392,Wardzyn
413423,Wola Rakowa
413481,Wygoda
413498,Albinów
413512,Antoniew
413535,Boczki Domaradzkie
413558,Boczki Zarzeczne
413564,Bronisławów
413570,Chlebowice
413587,Dąbrowa
413593,Domaradzyn
413618,Feliksów
413624,Gawronki
413630,Glinnik
413647,Helenów
413653,Jasionna
413660,Kadzielin
413682,Kamień
413699,Karasica
413707,Karnków
413713,Lubianków
413720,Różany
413736,Mąkolice
413771,Mięsośnia
413788,Ostrołęka
413794,Piaski Rudnickie
413802,Popów Głowieński
413831,Popówek Włościański
413848,Rudniczek
413860,Władysławów Bielawski
413877,Władysławów Popowski
413883,Wola Lubiankowska
413908,Wola Mąkolska
413943,Wola Zbrożkowa
413950,Konarzew
413989,Ziewanice
414003,Boginia
414010,Borchówka
414026,Dobieszków
414032,Byszewy
414049,Janów
414055,Głogowiec
414061,Grabina
414090,Bukowiec
414109,Kalonka
414115,Borki
414121,Dąbrówka
414138,Niecki
414144,Kopanka
414150,Dąbrowa
414167,Wódka
414173,Ksawerów
414180,Lipiny
414196,Moskwa
414210,Natolin
414227,Nowe Skoszewy
414233,Plichtów
414240,Teolin
414256,Stare Skoszewy
414262,Wiączyń Dolny
414285,Aleksandria
414291,Boczki
414300,Borszyn
414316,Cedrowice
414322,Opalanki
414339,Cedrowice-Parcela
414345,Celestynów
414351,Katarzynów
414368,Czerchów
414374,Dybówka
414380,Helenów
414397,Konary
414405,Leśmierz
414411,Małachowice
414428,Małachowice-Kolonia
414434,Maszkowice
414440,Modlna
414457,Muchówka
414463,Ostrów
414470,Parzyce
414486,Sierpów
414492,Skotniki
414500,Skromnica
414517,Tkaczew
414523,Sokolniki
414530,Sokolniki-Las
414546,Sokolniki-Parcela
414569,Solca Mała
414575,Solca Wielka
414581,Pełczyska
414598,Śliwniki
414606,Tymienica
414612,Wróblew
414629,Bychlew
414635,Gorzew
414641,Górka Pabianicka
414658,Hermanów
414664,Terenin
414670,Jadwinin
414687,Władysławów
414693,Janowice
414701,Huta Janowska
414718,Konin
414724,Majówka
414730,Ksawerów
414747,Kolonia Wola Zaradzyńska
414753,Teklin
414760,Widzew
414776,Żdżary
414782,Kudrowice
414799,Nowa Gadka
414807,Okołowice
414813,Pawlikowice
414842,Petrykozy
414859,Petrykozy-Osiedle
414865,Piątkowisko
414871,Porszewice
414888,Rydzyny
414902,Szynkielew
414948,Szynkielew Trzeci
414954,Świątniki
414960,Wola Zaradzyńska
414977,Wola Żytowska
414983,Wysieradz
414990,Żytowice
415008,Anastazew
415014,Bibianów
415020,Konstantki
415037,Mamień
415043,Chociszew
415050,Pustkowa Góra
415072,Radzibórz
415089,Chrząstów Wielki
415095,Chrząstówek
415103,Florentynów
415126,Florianki
415132,Ignacew Folwarczny
415149,Gołaszyny
415155,Ignacew Parzęczewski
415161,Ignacew Rozlazły
415190,Ignacew Podleśny
415209,Kowalewice
415215,Leźnica Wielka-Osiedle
415221,Mariampol
415238,Nowomłyny
415244,Sokola Góra
415250,Mikołajew
415273,Mrożewice
415280,Sulimy
415296,Nowa Jerozolima
415304,Opole
415310,Leźnica Wielka
415327,Orła
415333,Duraj
415340,Parzęczew
415356,Różyce
415379,Różyce Żmijowe
415385,Kozikówka
415400,Skórka
415445,Stary Chrząstów
415451,Śliwniki
415474,Żelgoszcz
415497,Śniatowa
415505,Tkaczewska Góra
415528,Trojany
415534,Wielka Wieś
415540,Janów
415557,Wytrzyszczki
415563,Julianki
415570,Piaskowice
415586,Bronisin Dworski
415592,Czyżeminek
415630,Gospodarz
415652,Grodzisko
415669,Konstantyna
415675,Guzew
415681,Babichy
415698,Huta Wiskicka
415706,Tadzin
415712,Kalinko
415758,Kalino
415764,Prawda
415770,Romanów
415787,Rzgów
415793,Stara Gadka
415801,Starowa Góra
415818,Anielin
415847,Anielin Swędowski
415860,Bartolin
415876,Bratoszewice
415882,Bronin
415899,Cesarka
415907,Ciołek
415913,Dobra
415920,Witanówek
415936,Dobra-Nowiny
415942,Gozdów
415971,Kalinów
416019,Kiełmina
416025,Klęk
416031,Koźle
416048,Lipka
416054,Ługi
416060,Dobieszków
416077,Michałówek
416108,Orzechówek
416114,Niesułków
416120,Niesułków-Kolonia
416143,Nowostawy Górne
416150,Osse
416166,Pludwiny
416172,Rokitnica
416189,Brzedza
416195,Sadówka
416203,Sierżnia
416210,Smolice
416226,Sosnowiec
416255,Sosnowiec-Pieńki
416261,Stary Imielnik
416278,Swędów
416284,Tymianka
416309,Krucice
416315,Lipa
416321,Warszewice
416344,Wola Błędowa
416367,Wrzask
416373,Wyskoki
416380,Zagłoba
416404,Zelgoszcz
416433,Astachowice
416440,Kotowice
416456,Bądków
416462,Besiekierz Nawojowy
416491,Besiekierz Rudny
416516,Biała
416522,Cyprianów
416539,Kolonia Głowa
416545,Jeżewo
416551,Leonów
416568,Stefanów
416574,Ciosny
416605,Czaplinek
416611,Marcjanka
416628,Podole
416634,Dąbrówka-Strumiany
416640,Dąbrówka-Marianka
416657,Dąbrówka-Sowice
416663,Dąbrówka Wielka
416670,Dąbrówka-Malice
416686,Dzierżązna
416700,Ostrów
416717,Swoboda
416746,Emilia
416752,Gieczno
416769,Glinnik
416775,Palestyna
416781,Samotnik
416798,Siedlisko
416806,Wołyń
416812,Grabiszew
416829,Grotniki
416835,Krzemień
416841,Jasionka
416864,Jedlicze A
416870,Jedlicze B
416887,Józefów
416893,Janów
416901,Leonardów
416918,Osmolin
416924,Ukraina
416930,Kania Góra
416947,Adolfów
416953,Dębniak
416960,Kębliny
416982,Florianów
416999,Moszczenica
417013,Kwilno
417042,Lorenki
417065,Lućmierz-Las
417071,Lućmierz-Ośrodek
417088,Maciejów
417094,Rozalinów
417102,Smardzew
417119,Łagiewniki Nowe
417125,Stare Łagiewniki
417131,Rogóźno
417148,Rosanów
417208,Ciosny
417214,Skotniki
417220,Słowik
417237,Brachowice
417243,Nowe Brachowice
417250,Szczawin
417266,Szczawin Duży
417272,Szczawin Mały
417295,Szczawin-Kolonia
417303,Śladków Górny
417310,Ustronie
417326,Warszyce
417355,Wiktorów
417361,Zimna Woda
417378,Władysławów
417390,Wola Branicka
417409,Michałów
417415,Wola Branicka-Kolonia
417421,Wola Rogozińska
417438,Wypychów
417444,Biały Dunajec
417450,Gile
417467,Leszczyny
417473,Stołowe
417496,Gliczarów Dolny
417562,Gliczarów Górny
417668,Sierockie
417728,Bobowa
417869,Brzana Dolna
417898,Brzana Górna
417935,Jankowa
418024,Sędziszowa
418060,Siedliska
418165,Stróżna
418277,Wilczyska
418314,Białka Tatrzańska
418366,Brzegi
418410,Dolina Pięciu Stawów
418426,Łysa Polana
418432,Morskie Oko
418449,Polana-Głodówka
418455,Roztoka
418461,Rynias
418478,Włosienica
418484,Bukowina Tatrzańska
418567,Czarna Góra
418596,Groń
418716,Jurgów
418722,Leśnica
418739,Rzepiska
418751,Grocholów-Potok
418768,Pawliki
418774,Wojtyczków-Potok
418780,Bystra Podhalańska
419207,Sidzina
419667,Do Kamieńskiego
419673,Jarominy
419704,Krupowa Hala
419710,Malinowo
419727,Sidzinka Mała
419779,Stasinka
419785,Staszkowie
419791,Wielka Polana
419816,Zagrody
419822,Biczyce Dolne
419845,Biczyce Górne
419897,Krasne Biczyckie
419905,Chełmiec
419940,Chomranice
419986,Dąbrowa
420021,Januszowa
420050,Klęczany
420104,Klimkówka
420140,Krasne Potockie
420200,Kunów
420216,Kurów
420251,Librantowa
420452,Marcinkowice
420535,Naściszowa
420541,Niskowa
420630,Szymanowice
420647,Paszyn
420883,Piątkowa
420950,Boguszowa
421032,Rdziostów
421078,Świniarsko
421144,Gaj
421150,Mała Wieś
421167,Trzetrzewina
421262,Zadziele
421285,Ubiad
421345,Wielogłowy
421405,Wielopole
421457,Wola Kurowska
421492,Wola Marcinkowska
421517,Chochołów
421523,Ciche
421629,Czarny Dunajec
421635,Czerwienne
421730,Morawy
421747,Dział
421813,Koniówka
421871,Odrowąż
421954,Gruszkowie
421977,Piekielnik
422095,Pieniążkowice
422149,Podczerwone
422209,Podszkle
422296,Studzianki
422304,Ratułów
422327,Brzuchacze
422333,Mulice
422356,Stare Bystre
422416,Szeligówka
422422,Wróblówka
422474,Chraca
422480,Załuczne
422570,Czorsztyn
422630,Huba
422652,Kluszkowce
422712,Maniowy
422824,Mizerna
422853,Sromowce Niżne
422860,Sromowce Średnie
422876,Sromowce Wyżne
422936,Kąty
422942,Chyszówki
423172,Dobra
423700,Gruszowiec
423858,Jurków
424065,Porąbka
424266,Półrzeczki
424579,Przenosza
424639,Skrzydlna
424757,Stróża
424830,Wilczyce
425053,Wola Skrzydlańska
425113,Bielanka
425194,Bystra
425283,Dominikowice
425343,Klęczany
425389,Kobylanka
425478,Kwiatonowice
425521,Ropica Polska
425573,Stróżówka
425656,Szymbark
425952,Zagórzany
426035,Bartkowa-Posadowa
426058,Bujne
426064,Górowa
426124,Gródek nad Dunajcem
426199,Jelna
426265,Dział
426288,Lipie
426319,Podole-Górowa
426325,Posadowa
426360,Przydonica
426450,Podglinicze
426466,Roztoka-Brzeziny
426526,Rożnów
426615,Sienna
426644,Tropie
426680,Wilkonosza
426696,Zbyszyce
426710,Biała Niżna
426791,Słopna
426822,Binczarowa
426851,Chodorowa
426897,Cieniawa
427187,Florynka
427299,Gródek
427514,Zagórze
427520,Kąclowa
427891,Podchełmie
427900,Krużlowa Niżna
427951,Krużlowa Wyżna
428057,Polna
428100,Ptaszkowa
428554,Siołkowa
428608,Molówka
428643,Dolinki
428650,Piekiełko
428666,Strzylawki
428672,Zagórze
428689,Stara Wieś
428778,Stróże
428838,Wawrzka
428844,Pod Brunarami
428867,Wyskitna
428904,Chyżne
429000,Zawodzie
429016,Jabłonka
429329,Nowakowa
429335,Otrębowa
429341,Lipnica Mała
429453,Orawka
429565,Marchewki
429571,Studzianki
429602,Podwilk
429861,Danielki
429878,Zubrzyca Dolna
429950,Zubrzyca Górna
430090,Góra Świętego Jana
430150,Janowice
430189,Gruszów
430203,Raciborzany
430210,Jodłownik
430278,Markuszowa
430284,Kostrza
430344,Krasne-Lasocice
430456,Mstów
430500,Pogorzany
430545,Sadek
430628,Słupia
430686,Szczyrzyc
430700,Abramowice
430717,Szyk
430806,Wilkowisko
431007,Łętownia
431409,Na Groniu
431438,Naprawa
431728,Osielec
432136,Gąsiorówka
432142,Jabconiowa
432159,Toporzysko
432573,Folwark
432580,Zawadówka
432596,Wysoka
432768,Kamienica
433259,Klinina
433265,Szczawa
433762,Zalesie
433963,Wyrębiska
433986,Zasadne
434170,Zbludza
434307,Bogusza
434342,Jamnica
434365,Kamionka Mała
434371,Kamionka Wielka
434945,Królowa Górna
435011,Królowa Polska
435152,Mszalnica
435324,Zagóra
435413,Mystków
435502,Niżna Wola
435577,Wyżna Wola
435637,Bukowiec
435666,Janczowa
435710,Jasienna
435784,Zagórze
435809,Koniuszowa
435880,Korzenna
435962,Lipnica Wielka
436051,Zalesie
436074,Łęka
436105,Łyczana
436134,Granice
436140,Miłkowa
436200,Mogilno
436252,Kawiory
436269,Niecew
436281,Jasionki
436298,Posadowa Mogilska
436341,Siedlce
436418,Słowikowa
436447,Trzycierz
436460,Wojnarowa
436513,Mosteczna
436520,Zabrzeż
436536,Grywałd
436720,Hałuszowa
436743,Krościenko nad Dunajcem
436967,Kąty
437004,Krośnica
437033,Tylka
437168,Berest
437205,Czyrna
437228,Mochnaczka Niżna
437234,Mochnaczka Wyżna
437240,Muszynka
437257,Piorunka
437263,Huta
437270,Przybudowa
437286,Polany
437292,Pod Kamienną
437300,Tylicz
437317,Jaworzna
437398,Kamionka Mała
437412,Chumowo
437599,Kobyłczyna
437642,Krosna
437872,Laskowa
438044,Sechna
438127,Strzeszyce
438216,Ujanowice
438251,Żmiąca
438400,Bałażówka
438417,Kanina
438475,Trzaskanki
438481,Kisielówka
438498,Kłodne
438618,Koszary
438682,Lipowe
438713,Łososina Górna
438759,Makowica
438825,Męcina
438995,Młynne
439196,Mordarka
439351,Nowe Rybie
439463,Pasierbiec
439530,Pisarzowa
439888,Rupniów
440035,Siekierczyna
440147,Morgi
440160,Podlas
440176,Potoki
440265,Sowliny
440325,Stara Wieś
440621,Stare Rybie
440680,Walowa Góra
440696,Wysokie
440762,Kiczory
440791,Lipnica Wielka
441000,Styrułowa Polana
441023,Śmietanowa
441030,Krzeczów
441247,Lubień
441603,Smugawa
441678,Zarębki
441767,Skomielna Biała
442130,Tenczyn
442465,Krzeczówka
442560,Barnowiec
442608,Czaczów
442761,Kamianna
442778,Kotów
442784,Krzyżówka
442809,Łabowa
442867,Łabowiec
442873,Łabowiec
442880,Łosie
442896,Maciejowa
442927,Nowa Wieś
442956,Roztoka Wielka
442962,Składziste
442979,Uhryń
442985,Falsztyn
442991,Frydman
443022,Kacwin
443068,Łapszanka
443246,Łapsze Niżne
443312,Łazy
443358,Łapsze Wyżne
443401,Niedzica
443447,Niedzica-Zamek
443453,Trybsz
443476,Brzyna
444040,Czarny Potok
444139,Czerniec
444286,Jazowsko
444671,Kadcza
444688,Podgóra
444719,Kicznia
444895,Łazy Brzyńskie
445073,Zawodzie
445104,Łącko
445268,Kiczanki
445311,Krakowska
445328,Wolaki
445423,Złotne
445452,Maszkowice
445653,Zawodzie
445742,Obidza
446530,Szczereż
446635,Kadeczka
446641,Wola Kosnowa
446842,Wola Piskulina
446925,Zabrzeż
447020,Byniowa
447037,Dybce
447043,Jarosze
447072,Niżna Paproć
447110,Wietrznice
447149,Zarębki
447190,Zagorzyn
447379,Byniowa Zagorzyńska
447451,Zarzecze
447480,Kamieńczyk
447540,Wierchy Zarzeckie
447570,Wyrobiska
447675,Białawoda
447741,Bilsko
447830,Cichawa
447847,Łęki
447882,Łososina Dolna
447971,Jarostowa
447988,Łyczanka
448002,Michalczowa
448054,Rąbkowa
448108,Skrzętla-Rojówka
448150,Stańkowa
448338,Świdnik
448373,Tabaszowa
448404,Tęgoborze
448539,Witowice Dolne
448628,Witowice Górne
448657,Wronowice
448692,Zawadka
448746,Znamirowice
448806,Żbikowice
448841,Jadamwola
448887,Jastrzębie
448953,Łukowica
449042,Młyńczyska
449131,Owieczka
449190,Przyszowa
449361,Roztoka
449496,Stronie
449622,Zagórów
449639,Świdnik
449674,Biesna
449711,Bieśnik
449800,Łużna
450000,Mszanka
450097,Szalowa
450163,Wola Łużańska
450230,Moszczenica
450476,Staszkówka
450602,Glisne
450654,Liszki
450708,Kasina Wielka
450714,Kasina Dolna
450743,Chałupki
450750,Chrustki
450766,Cygale
450772,Gościeje
450789,Gucie
450795,Kalety
450803,Kołacze
450810,Lulki
450826,Łukasze
450832,Mazgaje
450849,Nowaki
450855,Paluszki
450861,Puty
450878,Ślagi
450884,Turonie
450890,Trzeciaki
450909,Wojtasie
450915,Wójciki
450921,Wrzecionki
450938,Wydry
451091,Kasina Górna
451122,Bieńki
451139,Burdziany
451145,Chęcie
451151,Drągi
451168,Jurki
451174,Kopytki
451180,Kordy
451197,Miśki
